,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
3300 PROVINSI JAWA TENGAH,154111,181877,201651,217327,217440,233769,261881,281570,297851,317348,333224,350875,369385,395407,409193,438833,477580,507001,537812
3301 Kabupaten Cilacap,141840,161646,191167,206714,224530,240025,256615,265714,273828,292525,307041,320106,337572,351735,363367,384955,419429,441093,469174
3302 Kabupaten Banyumas,164111,189735,208583,225546,249807,271800,295742,309106,320585,344514,357748,366442,385140,406250,417086,441520,479027,500861,529310
3303 Kabupaten Purbalingga,148735,164046,194529,210349,230461,247508,265262,275022,283366,301862,313343,324735,355702,375199,384183,407849,439208,460870,491091
3304 Kabupaten Banjarnegara,146531,158702,160345,173385,192303,205369,221056,229718,236399,252328,264387,278210,301792,318334,328679,351333,380046,398344,424316
3305 Kabupaten Kebumen,162301,188042,195589,211495,234005,250413,267763,277280,292177,313881,325819,342437,362847,380557,390599,416004,451678,471824,502841
3306 Kabupaten Purworejo,148607,156632,194292,211400,235459,254314,273481,284409,294158,313931,325871,335995,345458,364289,376127,393731,427622,459253,496812
3307 Kabupaten Wonosobo,144809,147687,187932,203216,226827,242047,258522,267548,275180,297422,308553,323490,340827,362683,373474,399180,425105,456351,486105
3308 Kabupaten Magelang,126638,146910,169158,184053,204430,218950,235430,246292,253866,271800,281237,296327,325921,342430,353608,377497,411129,431289,454591
3309 Kabupaten Boyolali,152169,161660,195538,209495,223755,235399,247845,255391,263734,283921,293405,304575,332996,347520,361922,383030,420339,442071,464627
3310 Kabupaten Klaten,203205,240551,241608,258854,275002,296530,315566,327231,340484,364240,376305,397447,405537,419510,436896,458872,488102,505826,533141
3311 Kabupaten Sukoharjo,161638,182624,211928,227055,240711,259184,279400,291949,303030,327217,337037,345363,377319,393776,410273,434318,476675,501693,536779
3312 Kabupaten Wonogiri,144144,155000,182083,195080,207496,221019,235728,244761,252903,275507,284710,293357,327364,341643,356728,376763,414901,443563,479566
3313 Kabupaten Karanganyar,164134,173222,202500,216954,236093,255072,275865,288814,303056,329531,340538,348896,365151,385563,401542,424677,465703,491551,523407
3314 Kabupaten Sragen,168185,166014,192530,206273,222267,234254,247495,255550,263199,283649,292544,312106,335334,348890,363349,389265,426482,453663,482828
3315 Kabupaten Grobogan,163581,165302,205468,223560,242212,260435,278786,290827,303455,333009,345379,366192,375521,395001,404456,428597,464614,489208,526238
3316 Kabupaten Blora,132933,144710,174951,190356,206016,221088,237850,248903,257581,279972,291114,308520,335837,353259,363649,390478,425135,464959,492105
3317 Kabupaten Rembang,163449,172010,200216,217846,240859,261156,284160,299503,314596,338986,354440,365443,384561,403932,414977,441482,477514,518607,550265
3318 Kabupaten Pati,185490,220352,224390,244149,264372,288271,314609,332228,347575,377442,393817,414316,423922,445913,458616,486855,532545,559499,598600
3319 Kabupaten Kudus,172683,217005,218411,237643,256745,276317,299097,314211,328404,356951,373224,393078,406470,429666,450992,482806,520830,550075,576195
3320 Kabupaten Jepara,170338,201625,206549,224737,242963,263266,285287,299914,314422,341754,355607,371296,386693,407056,419028,442618,479131,503832,535150
3321 Kabupaten Demak,167405,173075,210260,228774,254441,276041,299773,315570,328529,356919,371525,402211,411202,432533,445176,471818,511145,535134,569035
3322 Kabupaten Semarang,156597,164333,189612,206308,227471,244762,263352,275612,286918,307505,317935,341576,377674,404455,416395,459151,498952,520639,558501
3323 Kabupaten Temanggung,129495,146268,164343,178814,198888,212487,229548,240845,248866,268730,277707,287981,310176,323705,336034,354012,388369,416086,443089
3324 Kabupaten Kendal,171598,182113,199020,216545,234475,253276,275016,289486,301449,323078,335497,353127,369769,396691,407387,433864,465936,488940,521061
3325 Kabupaten Batang,133680,151411,155558,169256,184592,195983,208671,216952,224437,240541,249292,256549,286116,309202,318330,341252,378858,412196,436936
3326 Kabupaten Pekalongan,172110,205028,210168,228674,249958,270026,293039,306281,317796,341648,354435,361297,382832,403662,416779,441765,480934,505520,538371
3327 Kabupaten Pemalang,160105,185526,198295,216365,235316,251986,271861,287358,298622,319434,331584,351183,372115,389209,401857,429549,467204,493593,530254
3328 Kabupaten Tegal,159988,180878,187048,204093,222700,239207,258366,271875,282861,308270,319758,332298,365334,390520,404655,434638,470728,497315,516933
3329 Kabupaten Brebes,165893,192162,219119,239086,261160,281601,307238,327452,340538,364059,382125,405932,414642,431897,445853,472326,513339,542495,563762
3371 Kota Magelang,177920,228385,237967,258921,280877,313250,350554,376143,405228,425191,450908,476582,481282,522099,537783,575130,602794,626614,662129
3372 Kota Surakarta,196959,236751,286158,306584,326233,361517,403121,417807,406840,430293,448062,464063,473516,487445,511216,538441,600953,638102,678315
3373 Kota Salatiga,171722,211260,221701,241223,254726,277039,302884,320204,337511,345146,359944,380856,418955,454154,480903,518815,565031,596659,630119
3374 Kota Semarang,171875,221357,226271,246195,272996,297848,328271,348824,368477,382160,402297,427511,474930,522691,543929,589598,642456,671936,709785
3375 Kota Pekalongan,151517,223167,231562,251952,270663,294586,322313,338398,352717,375600,390555,415172,425026,460789,480415,513243,565998,605312,639402
3376 Kota Tegal,197683,244380,248173,270788,280349,305818,333553,353301,371528,395631,418845,455488,465047,502031,523413,565826,623617,664922,702113
