,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
3300 PROVINSI JAWA TENGAH,6557,6122.6,5655.4,5217.2,5256,4863.5,4811.3,4561.82,4577,4506.89,4450.72,3897.2,3743.23,3980.9,4109.75,3831.44,3791.5,3704.33,3366.69
3301 Kabupaten Cilacap,363.6,343.9,318.8,297.2,282,260.9,255.7,239.8,243.5,240.2,238.3,193.2,185.2,198.6,201.71,190.96,191,186.08,164.22
3302 Kabupaten Banyumas,333,340.6,319.8,314.1,328.5,303.9,296.8,283.5,285.9,283.9,283.2,226.2,211.6,225.84,232.91,220.47,216.5,207.78,194.87
3303 Kabupaten Purbalingga,246.3,221.9,205,208.9,196,181.3,181.1,176,176.5,171.8,171.9,144.2,140.1,149.48,153.08,145.33,143.41,136.72,121.8
3304 Kabupaten Banjarnegara,232.9,200.6,184,166.7,177.3,164,166.8,159.5,165.4,158.2,156.8,141.7,136.1,144.95,150.19,141.25,138.99,137.68,124.66
3305 Kabupaten Kebumen,362.4,334.9,309.6,263,279.4,258.5,251.1,242.3,241.9,235.9,233.4,208.7,201.3,211.09,212.92,196.16,195.45,187.95,162.54
3306 Kabupaten Purworejo,146,130,121.4,115.3,121.9,112.8,109,102.1,101.2,99.1,98.6,83.5,82.2,84.79,88.8,82.64,81.28,78.02,72.18
3307 Kabupaten Wonosobo,241.4,207.5,194,174.7,183,169.3,170.1,165.8,166.4,160.1,159.2,138.3,131.3,137.63,139.67,128.11,123.7,121.49,106.29
3308 Kabupaten Magelang,200.1,190.8,176.5,167.2,179.6,166.2,171,160.5,162.4,158.9,157.2,143.4,137.4,146.34,154.91,145.33,144.49,143.8,132.21
3309 Kabupaten Boyolali,167,158.4,148.2,127.8,139.5,129.1,126.5,118.6,120,117,116.4,98.2,93.7,100.59,104.82,97.18,97.48,95.96,86.97
3310 Kabupaten Klaten,249.1,243.1,220.2,197.4,203.1,187.9,179.5,168.2,172.3,168,165,151.7,144.1,151.83,158.23,144.87,144.43,141.84,129.68
3311 Kabupaten Sukoharjo,113.8,99.1,94.4,90.2,92,85.1,84.1,78.9,79.9,78.9,76.7,65.4,63.6,68.89,73.84,68.72,68.79,68.15,62.66
3312 Kabupaten Wonogiri,237.4,201.1,184.9,145.5,146.4,135.4,132.2,123.8,123,124.8,123,102.8,98.3,104.37,110.46,105.19,104.82,102.57,91.9
3313 Kabupaten Karanganyar,138.9,125.9,118.8,113.8,124.5,115.2,114.4,107.3,106.4,107.7,106.8,87.8,84.5,91.72,95.41,88.56,88.64,87.37,77.66
