,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
3300 PROVINSI JAWA TENGAH,20.43,18.99,17.48,16.11,16.21,14.98,14.44,13.58,13.58,13.27,13.01,11.32,10.8,11.41,11.79,10.93,10.77,10.47,9.48
3301 Kabupaten Cilacap,22.59,21.4,19.88,18.11,17.15,15.92,15.24,14.21,14.39,14.12,13.94,11.25,10.73,11.46,11.67,11.02,10.99,10.68,9.41
3302 Kabupaten Banyumas,22.46,22.93,21.52,20.2,21.11,19.44,18.44,17.45,17.52,17.23,17.05,13.5,12.53,13.26,13.66,12.84,12.53,11.95,11.15
3303 Kabupaten Purbalingga,30.24,27.12,24.97,24.58,23.06,21.19,20.53,19.75,19.7,18.98,18.8,15.62,15.03,15.9,16.24,15.3,14.99,14.18,12.55
3304 Kabupaten Banjarnegara,27.18,23.34,21.36,19.17,20.38,18.87,18.71,17.77,18.37,17.46,17.21,15.46,14.76,15.64,16.23,15.2,14.9,14.71,13.28
3305 Kabupaten Kebumen,30.25,27.87,25.37,22.7,24.06,22.4,21.32,20.5,20.44,19.86,19.6,17.47,16.82,17.59,17.83,16.41,16.34,15.71,13.58
3306 Kabupaten Purworejo,20.49,18.22,17.02,16.61,17.51,16.32,15.44,14.41,14.27,13.91,13.81,11.67,11.45,11.78,12.4,11.53,11.33,10.87,10.06
3307 Kabupaten Wonosobo,32.29,27.72,25.91,23.15,24.21,22.5,22.08,21.42,21.45,20.53,20.32,17.58,16.63,17.36,17.67,16.17,15.58,15.28,13.34
3308 Kabupaten Magelang,17.37,16.49,15.19,14.14,15.18,13.97,13.96,12.98,13.07,12.67,12.42,11.23,10.67,11.27,11.91,11.09,10.96,10.83,9.9
3309 Kabupaten Boyolali,18.06,17.08,15.96,13.72,14.97,13.88,13.27,12.36,12.45,12.09,11.96,10.04,9.53,10.18,10.62,9.82,9.81,9.63,8.71
3310 Kabupaten Klaten,22.27,21.72,19.68,17.47,17.95,16.71,15.6,14.56,14.89,14.46,14.15,12.96,12.28,12.89,13.49,12.33,12.28,12.04,11
3311 Kabupaten Sukoharjo,14.02,12.13,11.51,10.94,11.13,10.15,9.87,9.18,9.26,9.07,8.75,7.41,7.14,7.68,8.23,7.61,7.58,7.47,6.83
3312 Kabupaten Wonogiri,24.44,20.71,19.08,15.67,15.74,14.67,14.02,13.09,12.98,13.12,12.9,10.75,10.25,10.86,11.55,10.99,10.94,10.71,9.59
3313 Kabupaten Karanganyar,17.39,15.68,14.73,13.98,15.29,14.07,13.58,12.62,12.46,12.49,12.28,10.01,9.55,10.28,10.68,9.85,9.79,9.59,8.48
3314 Kabupaten Sragen,21.24,20.83,19.7,17.49,17.95,16.72,15.93,14.87,14.86,14.38,14.02,13.12,12.79,13.38,13.83,12.94,12.87,12.41,11.22
3315 Kabupaten Grobogan,25.14,19.84,18.68,17.86,17.38,16.13,14.87,13.86,13.68,13.57,13.27,12.31,11.77,12.46,12.74,11.8,11.72,11.43,10.63
3316 Kabupaten Blora,21.46,18.79,17.7,16.27,16.24,15.1,14.64,13.66,13.52,13.33,13.04,11.9,11.32,11.96,12.39,11.53,11.49,11.42,10.58
3317 Kabupaten Rembang,30.71,27.21,25.86,23.4,23.71,21.88,20.97,19.5,19.28,18.54,18.35,15.41,14.95,15.6,15.8,14.65,14.17,14.02,13.01
3318 Kabupaten Pati,19.79,17.9,15.92,14.48,14.69,13.61,12.94,12.06,11.95,11.65,11.38,9.9,9.46,10.08,10.21,9.33,9.31,9.17,8.24
3319 Kabupaten Kudus,10.73,12.58,10.8,9.01,9.45,8.63,8.62,7.99,7.73,7.65,7.59,6.98,6.68,7.31,7.6,7.41,7.24,7.23,6.59
3320 Kabupaten Jepara,10.44,11.05,9.6,10.18,10.32,9.38,9.23,8.55,8.5,8.35,8.12,7,6.66,7.17,7.44,6.88,6.61,6.09,5.79
3321 Kabupaten Demak,23.5,21.24,19.7,18.76,18.21,16.73,15.72,14.6,14.44,14.1,13.41,12.54,11.86,12.54,12.92,12.09,12.01,11.89,10.87
3322 Kabupaten Semarang,12.34,11.37,10.66,10.5,10.3,9.4,8.51,8.05,8.15,7.99,7.78,7.29,7.04,7.51,7.82,7.27,7.17,6.96,6.3
3323 Kabupaten Temanggung,16.55,16.39,15.05,13.46,13.38,12.32,12.42,11.55,11.76,11.6,11.46,9.87,9.42,9.96,10.17,9.33,9.26,8.67,7.78
3324 Kabupaten Kendal,20.7,17.87,16.02,14.47,14.26,13.17,12.68,11.8,11.62,11.37,11.1,9.84,9.41,9.99,10.24,9.48,9.39,9.35,8.4
3325 Kabupaten Batang,20.79,18.08,16.61,14.67,13.47,12.4,11.96,11.13,11.27,11.04,10.8,8.69,8.35,9.13,9.68,8.98,8.92,8.73,7.79
3326 Kabupaten Pekalongan,20.31,19.52,17.93,16.29,15,13.85,13.51,12.57,12.84,12.9,12.61,10.06,9.71,10.19,10.57,9.67,9.67,8.95,8.05
3327 Kabupaten Pemalang,22.79,23.92,22.17,19.96,20.68,19.27,19.27,18.44,18.3,17.58,17.37,16.04,15.41,16.02,16.56,15.06,15.03,14.92,13.32
3328 Kabupaten Tegal,18.5,15.78,13.98,13.11,11.54,10.75,10.58,9.87,10.09,10.1,9.9,7.94,7.64,8.14,8.6,7.9,7.3,6.81,6.16
