,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
3300 PROVINSI JAWA TENGAH,7.7,7.35,7.33,6.21,7.07,5.61,6.01,5.68,4.99,5.79,4.57,4.47,4.44,6.48,5.95,5.95,5.13,4.78,4.66
3301 Kabupaten Cilacap,11.48,10.16,11.45,9.75,10.82,7.29,6.68,5.65,8.01,8.61,6.3,7.49,7.24,9.1,9.97,9.62,8.74,7.83,7.4
3302 Kabupaten Banyumas,8.07,8.05,8.05,7.37,6.61,5.11,5.45,5.37,6.37,6.12,4.62,4.15,4.17,6,6.05,6.05,6.35,6.18,6.26
3303 Kabupaten Purbalingga,7.56,7.08,4.66,3.82,5.1,5.02,5.63,5.13,4.84,5.42,5.33,6.02,4.73,6.1,6.05,5.23,5.61,4.96,4.83
3304 Kabupaten Banjarnegara,6.39,4.91,5.07,3.1,4.97,3.69,4.16,4.06,5.05,4.99,4.72,3.99,4.44,5.86,5.86,6.38,6.26,5.57,5.39
3305 Kabupaten Kebumen,7.18,6.12,8.12,8.02,4.73,3.58,3.52,3.25,4.14,5.42,5.58,5.48,4.69,6.07,6.03,5.92,5.11,5.07,4.95
3306 Kabupaten Purworejo,5.43,4.32,4.94,3.4,5.3,3.2,5.15,5.1,4.01,4.19,3.64,4.43,2.91,4.04,3.59,4.45,4.02,3.89,3.72
3307 Kabupaten Wonosobo,5.68,5.5,3.62,4.04,4.92,5.21,5.82,5.34,4.47,4.68,4.18,3.5,3.43,5.37,5.26,5.01,4.95,4.02,3.99
3308 Kabupaten Magelang,6.26,5.06,4.95,2.97,6.83,4.38,6.13,7.45,5.16,4.63,2.44,2.89,3.07,4.27,5.03,4.97,4.42,3.55,3.52
3309 Kabupaten Boyolali,7.25,5.9,5.51,3.9,5.81,4.43,5.44,4.95,2.03,4.42,3.67,2.18,3.09,5.28,5.09,4.92,4.05,3.16,2.97
3310 Kabupaten Klaten,8.19,7.26,6.36,4.5,7.63,3.7,5.34,4.75,2.51,4.92,4.35,3.14,3.54,5.46,5.48,4.31,4.2,3.97,3.88
3311 Kabupaten Sukoharjo,9.45,8.12,8.28,7.4,6.27,6.1,5.98,4.6,4.52,5.17,2.27,2.72,3.39,6.93,3.32,2.47,3.4,3.65,4.32
3312 Kabupaten Wonogiri,5.2,5.73,5.03,4.7,3.82,3.46,3.61,3.45,3.07,3.35,2.38,2.28,2.55,4.27,2.43,1.95,1.92,2.4,2.16
3313 Kabupaten Karanganyar,6.63,5.7,8.26,6.62,5.78,5.82,3.84,3.54,3.6,4.83,3.17,2.28,3.12,5.96,5.89,5.7,4.35,3.47,3.26
3314 Kabupaten Sragen,6.21,5.64,5.78,4.09,8.43,5.88,5.63,6.04,4.51,5,4.55,4.83,3.32,4.75,4.76,4.69,3.87,3.53,3.49
3315 Kabupaten Grobogan,5.83,6.19,6.07,4.6,5.33,4.2,6.1,4.25,5.22,4.45,3.02,2.22,3.54,4.5,4.38,4.4,4.02,3.23,3.12
