kode,kabupaten,tahun,persen_miskin,garis_kemiskinan,jumlah_miskin,tpt,nama_clean
3301,Kabupaten Cilacap,2007,22.59,141840,363.6,11.48,CILACAP
3302,Kabupaten Banyumas,2007,22.46,164111,333.0,8.07,BANYUMAS
3303,Kabupaten Purbalingga,2007,30.24,148735,246.3,7.56,PURBALINGGA
3304,Kabupaten Banjarnegara,2007,27.18,146531,232.9,6.39,BANJARNEGARA
3305,Kabupaten Kebumen,2007,30.25,162301,362.4,7.18,KEBUMEN
3306,Kabupaten Purworejo,2007,20.49,148607,146.0,5.43,PURWOREJO
3307,Kabupaten Wonosobo,2007,32.29,144809,241.4,5.68,WONOSOBO
3308,Kabupaten Magelang,2007,17.37,126638,200.1,6.26,MAGELANG
3309,Kabupaten Boyolali,2007,18.06,152169,167.0,7.25,BOYOLALI
3310,Kabupaten Klaten,2007,22.27,203205,249.1,8.19,KLATEN
3311,Kabupaten Sukoharjo,2007,14.02,161638,113.8,9.45,SUKOHARJO
3312,Kabupaten Wonogiri,2007,24.44,144144,237.4,5.2,WONOGIRI
3313,Kabupaten Karanganyar,2007,17.39,164134,138.9,6.63,KARANGANYAR
3314,Kabupaten Sragen,2007,21.24,168185,180.7,6.21,SRAGEN
3315,Kabupaten Grobogan,2007,25.14,163581,330.4,5.83,GROBOGAN
3316,Kabupaten Blora,2007,21.46,132933,176.8,3.92,BLORA
3317,Kabupaten Rembang,2007,30.71,163449,174.3,5.7,REMBANG
3318,Kabupaten Pati,2007,19.79,185490,228.8,8.38,PATI
3319,Kabupaten Kudus,2007,10.73,172683,82.4,7.03,KUDUS
3320,Kabupaten Jepara,2007,10.44,170338,111.2,5.78,JEPARA
3321,Kabupaten Demak,2007,23.5,167405,238.9,7.04,DEMAK
3322,Kabupaten Semarang,2007,12.34,156597,110.1,9.36,SEMARANG
3323,Kabupaten Temanggung,2007,16.55,129495,115.0,6.77,TEMANGGUNG
3324,Kabupaten Kendal,2007,20.7,171598,192.7,5.42,KENDAL
3325,Kabupaten Batang,2007,20.79,133680,139.8,8.13,BATANG
3326,Kabupaten Pekalongan,2007,20.31,172110,170.0,7.93,PEKALONGAN
3327,Kabupaten Pemalang,2007,22.79,160105,307.1,8.53,PEMALANG
3328,Kabupaten Tegal,2007,18.5,159988,258.6,9.38,TEGAL
3329,Kabupaten Brebes,2007,27.93,165893,492.2,9.01,BREBES
